#k	31
#unique_kmers	317485861
#error_kmers	276336006
#genomic_kmers	41149855
#main_peak	153
#genome_size_in_peaks	45516240
#genome_size	66534829
#haploid_genome_size	66534829
#fold_coverage	153
#haploid_fold_coverage	153
#ploidy	1
#percent_repeat_in_peaks	10.438
#percent_repeat	37.865
#start	center	stop	max	volume
61	153	230	801953	38727788
230	283	358	14321	958926
358	423	500	4159	353187
500	565	639	1890	186447
641	706	707	1121	61922
707	709	785	1103	65692
785	786	788	658	1854
788	790	792	635	2477
792	838	842	773	35070
842	843	845	781	2277
845	847	851	770	4469
851	852	2130	744	364950
