chr	total_size	bases_coveraged	perc_covered
chr01	11362290	10033306	88.30355501
chr02	7035914	5970412	84.856239
chr03	6232865	5562592	89.24614924
chr04	6141308	5253079	85.53681073
chr05	5777465	4896774	84.75644595
chr06	5061772	4351273	85.96343336
chr07	4686795	3872034	82.61581742
chr08	4340606	3659502	84.30855047
chr09	4070492	3472283	85.30376672
chr10	4017737	3548022	88.30896597
chr11	3311222	2968003	89.63467264
chr12	2606583	1390751	53.35533148
chr13	2063147	1829466	88.67356519
chr14	460279	370752	80.5494059
